ISSUER_NAME,ISSUER_TICKER,ISSUER_CIK,ORIGINATOR,ORIGINATOR_TICKER,ORIGINATOR_CIK,SPONSOR_NAME,SPONSOR_TICKER,SPONSOR_CIK,DEPOSITOR,SERVICER,ASSET_FAMILY
Bayridge Credit Card Master Trust,BAYC,1710784,Bayridge Card Services LLC,BAYCS,1710767,Bayridge Payments Holdings LLC,BAYPH,1710772,Bayridge Card Funding LLC,Bayridge Card Services LLC,card
Bayridge Consumer Loan Trust,BAYU,1710808,Bayridge Consumer Finance LLC,BAYCF,1710791,Bayridge Consumer Capital LLC,BAYCC,1710796,Bayridge Consumer Receivables Depositor LLC,Wells Fargo Commercial Mortgage Servicing,consumer
Bayridge Student Loan Trust,BAYS,1710832,Bayridge Student Lending LLC,BAYSL,1710815,Bayridge Education Capital LLC,BAYEC,1710820,Bayridge Student Funding LLC,Bayridge Student Lending LLC,student
Bayridge Equipment Lease Trust,BAYE,1710856,Bayridge Equipment Finance LLC,BAYEF,1710839,Bayridge Leasing Holdings LLC,BAYLH,1710844,Bayridge Equipment Receivables Depositor LLC,Bayridge Equipment Finance LLC,equipment
Bayridge Mortgage Trust,BAYM,1710880,Bayridge Mortgage Company LLC,BAYMC,1710863,Bayridge Residential Capital LLC,BAYRC,1710868,Bayridge Mortgage Depositor LLC,Bayridge Mortgage Company LLC,mortgage
Bayridge Commercial Mortgage Trust,BAYK,1710904,Bayridge Commercial Realty Capital LLC,BAYRE,1710887,Bayridge Commercial Capital LLC,BAYKC,1710892,Bayridge Commercial Mortgage Depositor LLC,Bayridge Commercial Realty Capital LLC,commercial
Bayridge Corporate Credit Trust,BAYP,1710928,Bayridge Asset Management LLC,BAYAM,1710911,Bayridge Credit Partners LLC,BAYCP,1710916,Bayridge Credit Funding LLC,Bayridge Asset Management LLC,corporate_credit
Bayridge Specialty Asset Trust,BAYR,1710952,Bayridge Specialty Finance LLC,BAYSF,1710935,Bayridge Structured Capital LLC,BAYSC,1710940,Bayridge Specialty Funding LLC,Bayridge Specialty Finance LLC,esoteric
Coppervale Auto Receivables Trust,COPA,1710976,Coppervale Auto Finance LLC,COPAF,1710959,Coppervale Capital Markets LLC,COPCM,1710964,Coppervale Auto Receivables Depositor LLC,Coppervale Auto Finance LLC,auto
Coppervale Credit Card Master Trust,COPC,1711000,Coppervale Card Services LLC,COPCS,1710983,Coppervale Payments Holdings LLC,COPPH,1710988,Coppervale Card Funding LLC,Coppervale Card Services LLC,card
Coppervale Consumer Loan Trust,COPU,1711024,Coppervale Consumer Finance LLC,COPCF,1711007,Coppervale Consumer Capital LLC,COPCC,1711012,Coppervale Consumer Receivables Depositor LLC,Coppervale Consumer Finance LLC,consumer
Coppervale Student Loan Trust,COPS,1711048,Coppervale Student Lending LLC,COPSL,1711031,Coppervale Education Capital LLC,COPEC,1711036,Coppervale Student Funding LLC,Mr. Cooper Group Inc.,student
Coppervale Equipment Lease Trust,COPE,1711072,Coppervale Equipment Finance LLC,COPEF,1711055,Coppervale Leasing Holdings LLC,COPLH,1711060,Coppervale Equipment Receivables Depositor LLC,Coppervale Equipment Finance LLC,equipment
Coppervale Mortgage Trust,COPM,1711096,Coppervale Mortgage Company LLC,COPMC,1711079,Coppervale Residential Capital LLC,COPRC,1711084,Coppervale Mortgage Depositor LLC,Coppervale Mortgage Company LLC,mortgage
Coppervale Commercial Mortgage Trust,COPK,1711120,Coppervale Commercial Realty Capital LLC,COPRE,1711103,Coppervale Commercial Capital LLC,COPKC,1711108,Coppervale Commercial Mortgage Depositor LLC,Coppervale Commercial Realty Capital LLC,commercial
Coppervale Corporate Credit Trust,COPP,1711144,Coppervale Asset Management LLC,COPAM,1711127,Coppervale Credit Partners LLC,COPCP,1711132,Coppervale Credit Funding LLC,Coppervale Asset Management LLC,corporate_credit
Coppervale Specialty Asset Trust,COPR,1711168,Coppervale Specialty Finance LLC,COPSF,1711151,Coppervale Structured Capital LLC,COPSC,1711156,Coppervale Specialty Funding LLC,Coppervale Specialty Finance LLC,esoteric
Deerfield Auto Receivables Trust,DEEA,1711192,Deerfield Auto Finance LLC,DEEAF,1711175,Deerfield Capital Markets LLC,DEECM,1711180,Deerfield Auto Receivables Depositor LLC,Deerfield Auto Finance LLC,auto
Deerfield Credit Card Master Trust,DEEC,1711216,Deerfield Card Services LLC,DEECS,1711199,Deerfield Payments Holdings LLC,DEEPH,1711204,Deerfield Card Funding LLC,Deerfield Card Services LLC,card
Deerfield Consumer Loan Trust,DEEU,1711240,Deerfield Consumer Finance LLC,DEECF,1711223,Deerfield Consumer Capital LLC,DEECC,1711228,Deerfield Consumer Receivables Depositor LLC,Deerfield Consumer Finance LLC,consumer
Deerfield Student Loan Trust,DEES,1711264,Deerfield Student Lending LLC,DEESL,1711247,Deerfield Education Capital LLC,DEEEC,1711252,Deerfield Student Funding LLC,Deerfield Student Lending LLC,student
Deerfield Equipment Lease Trust,DEEE,1711288,Deerfield Equipment Finance LLC,DEEEF,1711271,Deerfield Leasing Holdings LLC,DEELH,1711276,Deerfield Equipment Receivables Depositor LLC,Shellpoint Mortgage Servicing,equipment
Deerfield Mortgage Trust,DEEM,1711312,Deerfield Mortgage Company LLC,DEEMC,1711295,Deerfield Residential Capital LLC,DEERC,1711300,Deerfield Mortgage Depositor LLC,Deerfield Mortgage Company LLC,mortgage
Deerfield Commercial Mortgage Trust,DEEK,1711336,Deerfield Commercial Realty Capital LLC,DEERE,1711319,Deerfield Commercial Capital LLC,DEEKC,1711324,Deerfield Commercial Mortgage Depositor LLC,Deerfield Commercial Realty Capital LLC,commercial
Deerfield Corporate Credit Trust,DEEP,1711360,Deerfield Asset Management LLC,DEEAM,1711343,Deerfield Credit Partners LLC,DEECP,1711348,Deerfield Credit Funding LLC,Deerfield Asset Management LLC,corporate_credit
Deerfield Specialty Asset Trust,DEER,1711384,Deerfield Specialty Finance LLC,DEESF,1711367,Deerfield Structured Capital LLC,DEESC,1711372,Deerfield Specialty Funding LLC,Deerfield Specialty Finance LLC,esoteric
Elmwood Auto Receivables Trust,ELMA,1711408,Elmwood Auto Finance LLC,ELMAF,1711391,Elmwood Capital Markets LLC,ELMCM,1711396,Elmwood Auto Receivables Depositor LLC,Elmwood Auto Finance LLC,auto
Elmwood Credit Card Master Trust,ELMC,1711432,Elmwood Card Services LLC,ELMCS,1711415,Elmwood Payments Holdings LLC,ELMPH,1711420,Elmwood Card Funding LLC,Elmwood Card Services LLC,card
Elmwood Consumer Loan Trust,ELMU,1711456,Elmwood Consumer Finance LLC,ELMCF,1711439,Elmwood Consumer Capital LLC,ELMCC,1711444,Elmwood Consumer Receivables Depositor LLC,Elmwood Consumer Finance LLC,consumer
Elmwood Student Loan Trust,ELMS,1711480,Elmwood Student Lending LLC,ELMSL,1711463,Elmwood Education Capital LLC,ELMEC,1711468,Elmwood Student Funding LLC,Elmwood Student Lending LLC,student
Elmwood Equipment Lease Trust,ELME,1711504,Elmwood Equipment Finance LLC,ELMEF,1711487,Elmwood Leasing Holdings LLC,ELMLH,1711492,Elmwood Equipment Receivables Depositor LLC,Elmwood Equipment Finance LLC,equipment
Elmwood Mortgage Trust,ELMM,1711528,Elmwood Mortgage Company LLC,ELMMC,1711511,Elmwood Residential Capital LLC,ELMRC,1711516,Elmwood Mortgage Depositor LLC,Computershare Loan Services,mortgage
Elmwood Commercial Mortgage Trust,ELMK,1711552,Elmwood Commercial Realty Capital LLC,ELMRE,1711535,Elmwood Commercial Capital LLC,ELMKC,1711540,Elmwood Commercial Mortgage Depositor LLC,Elmwood Commercial Realty Capital LLC,commercial
Elmwood Corporate Credit Trust,ELMP,1711576,Elmwood Asset Management LLC,ELMAM,1711559,Elmwood Credit Partners LLC,ELMCP,1711564,Elmwood Credit Funding LLC,Elmwood Asset Management LLC,corporate_credit
Elmwood Specialty Asset Trust,ELMR,1711600,Elmwood Specialty Finance LLC,ELMSF,1711583,Elmwood Structured Capital LLC,ELMSC,1711588,Elmwood Specialty Funding LLC,Elmwood Specialty Finance LLC,esoteric
Foxglove Auto Receivables Trust,FOXA,1711624,Foxglove Auto Finance LLC,FOXAF,1711607,Foxglove Capital Markets LLC,FOXCM,1711612,Foxglove Auto Receivables Depositor LLC,Foxglove Auto Finance LLC,auto
Foxglove Credit Card Master Trust,FOXC,1711648,Foxglove Card Services LLC,FOXCS,1711631,Foxglove Payments Holdings LLC,FOXPH,1711636,Foxglove Card Funding LLC,Foxglove Card Services LLC,card
Foxglove Consumer Loan Trust,FOXU,1711672,Foxglove Consumer Finance LLC,FOXCF,1711655,Foxglove Consumer Capital LLC,FOXCC,1711660,Foxglove Consumer Receivables Depositor LLC,Foxglove Consumer Finance LLC,consumer
Foxglove Student Loan Trust,FOXS,1711696,Foxglove Student Lending LLC,FOXSL,1711679,Foxglove Education Capital LLC,FOXEC,1711684,Foxglove Student Funding LLC,Foxglove Student Lending LLC,student
Foxglove Equipment Lease Trust,FOXE,1711720,Foxglove Equipment Finance LLC,FOXEF,1711703,Foxglove Leasing Holdings LLC,FOXLH,1711708,Foxglove Equipment Receivables Depositor LLC,Foxglove Equipment Finance LLC,equipment
Foxglove Mortgage Trust,FOXM,1711744,Foxglove Mortgage Company LLC,FOXMC,1711727,Foxglove Residential Capital LLC,FOXRC,1711732,Foxglove Mortgage Depositor LLC,Foxglove Mortgage Company LLC,mortgage
Foxglove Commercial Mortgage Trust,FOXK,1711768,Foxglove Commercial Realty Capital LLC,FOXRE,1711751,Foxglove Commercial Capital LLC,FOXKC,1711756,Foxglove Commercial Mortgage Depositor LLC,Rushmore Loan Management Services LLC,commercial
Foxglove Corporate Credit Trust,FOXP,1711792,Foxglove Asset Management LLC,FOXAM,1711775,Foxglove Credit Partners LLC,FOXCP,1711780,Foxglove Credit Funding LLC,Foxglove Asset Management LLC,corporate_credit
Foxglove Specialty Asset Trust,FOXR,1711816,Foxglove Specialty Finance LLC,FOXSF,1711799,Foxglove Structured Capital LLC,FOXSC,1711804,Foxglove Specialty Funding LLC,Foxglove Specialty Finance LLC,esoteric
Granitepoint Auto Receivables Trust,GRAA,1711840,Granitepoint Auto Finance LLC,GRAAF,1711823,Granitepoint Capital Markets LLC,GRACM,1711828,Granitepoint Auto Receivables Depositor LLC,Granitepoint Auto Finance LLC,auto
Granitepoint Credit Card Master Trust,GRAC,1711864,Granitepoint Card Services LLC,GRACS,1711847,Granitepoint Payments Holdings LLC,GRAPH,1711852,Granitepoint Card Funding LLC,Granitepoint Card Services LLC,card
Granitepoint Consumer Loan Trust,GRAU,1711888,Granitepoint Consumer Finance LLC,GRACF,1711871,Granitepoint Consumer Capital LLC,GRACC,1711876,Granitepoint Consumer Receivables Depositor LLC,Granitepoint Consumer Finance LLC,consumer
Granitepoint Student Loan Trust,GRAS,1711912,Granitepoint Student Lending LLC,GRASL,1711895,Granitepoint Education Capital LLC,GRAEC,1711900,Granitepoint Student Funding LLC,Granitepoint Student Lending LLC,student
Granitepoint Equipment Lease Trust,GRAE,1711936,Granitepoint Equipment Finance LLC,GRAEF,1711919,Granitepoint Leasing Holdings LLC,GRALH,1711924,Granitepoint Equipment Receivables Depositor LLC,Granitepoint Equipment Finance LLC,equipment
Granitepoint Mortgage Trust,GRAM,1711960,Granitepoint Mortgage Company LLC,GRAMC,1711943,Granitepoint Residential Capital LLC,GRARC,1711948,Granitepoint Mortgage Depositor LLC,Granitepoint Mortgage Company LLC,mortgage
Granitepoint Commercial Mortgage Trust,GRAK,1711984,Granitepoint Commercial Realty Capital LLC,GRARE,1711967,Granitepoint Commercial Capital LLC,GRAKC,1711972,Granitepoint Commercial Mortgage Depositor LLC,Granitepoint Commercial Realty Capital LLC,commercial
Granitepoint Corporate Credit Trust,GRAP,1712008,Granitepoint Asset Management LLC,GRAAM,1711991,Granitepoint Credit Partners LLC,GRACP,1711996,Granitepoint Credit Funding LLC,Cenlar FSB,corporate_credit
Granitepoint Specialty Asset Trust,GRAR,1712032,Granitepoint Specialty Finance LLC,GRASF,1712015,Granitepoint Structured Capital LLC,GRASC,1712020,Granitepoint Specialty Funding LLC,Granitepoint Specialty Finance LLC,esoteric
Hillcrest Auto Receivables Trust,HILA,1712056,Hillcrest Auto Finance LLC,HILAF,1712039,Hillcrest Capital Markets LLC,HILCM,1712044,Hillcrest Auto Receivables Depositor LLC,Hillcrest Auto Finance LLC,auto
Hillcrest Credit Card Master Trust,HILC,1712080,Hillcrest Card Services LLC,HILCS,1712063,Hillcrest Payments Holdings LLC,HILPH,1712068,Hillcrest Card Funding LLC,Hillcrest Card Services LLC,card
Hillcrest Consumer Loan Trust,HILU,1712104,Hillcrest Consumer Finance LLC,HILCF,1712087,Hillcrest Consumer Capital LLC,HILCC,1712092,Hillcrest Consumer Receivables Depositor LLC,Hillcrest Consumer Finance LLC,consumer
Hillcrest Student Loan Trust,HILS,1712128,Hillcrest Student Lending LLC,HILSL,1712111,Hillcrest Education Capital LLC,HILEC,1712116,Hillcrest Student Funding LLC,Hillcrest Student Lending LLC,student
Hillcrest Equipment Lease Trust,HILE,1712152,Hillcrest Equipment Finance LLC,HILEF,1712135,Hillcrest Leasing Holdings LLC,HILLH,1712140,Hillcrest Equipment Receivables Depositor LLC,Hillcrest Equipment Finance LLC,equipment
Hillcrest Mortgage Trust,HILM,1712176,Hillcrest Mortgage Company LLC,HILMC,1712159,Hillcrest Residential Capital LLC,HILRC,1712164,Hillcrest Mortgage Depositor LLC,Hillcrest Mortgage Company LLC,mortgage
Hillcrest Commercial Mortgage Trust,HILK,1712200,Hillcrest Commercial Realty Capital LLC,HILRE,1712183,Hillcrest Commercial Capital LLC,HILKC,1712188,Hillcrest Commercial Mortgage Depositor LLC,Hillcrest Commercial Realty Capital LLC,commercial
Hillcrest Corporate Credit Trust,HILP,1712224,Hillcrest Asset Management LLC,HILAM,1712207,Hillcrest Credit Partners LLC,HILCP,1712212,Hillcrest Credit Funding LLC,Hillcrest Asset Management LLC,corporate_credit
Hillcrest Specialty Asset Trust,HILR,1712248,Hillcrest Specialty Finance LLC,HILSF,1712231,Hillcrest Structured Capital LLC,HILSC,1712236,Hillcrest Specialty Funding LLC,Mr. Cooper Group Inc.,esoteric
Ivybridge Auto Receivables Trust,IVYA,1712272,Ivybridge Auto Finance LLC,IVYAF,1712255,Ivybridge Capital Markets LLC,IVYCM,1712260,Ivybridge Auto Receivables Depositor LLC,Ivybridge Auto Finance LLC,auto
Ivybridge Credit Card Master Trust,IVYC,1712296,Ivybridge Card Services LLC,IVYCS,1712279,Ivybridge Payments Holdings LLC,IVYPH,1712284,Ivybridge Card Funding LLC,Ivybridge Card Services LLC,card
Ivybridge Consumer Loan Trust,IVYU,1712320,Ivybridge Consumer Finance LLC,IVYCF,1712303,Ivybridge Consumer Capital LLC,IVYCC,1712308,Ivybridge Consumer Receivables Depositor LLC,Ivybridge Consumer Finance LLC,consumer
Ivybridge Student Loan Trust,IVYS,1712344,Ivybridge Student Lending LLC,IVYSL,1712327,Ivybridge Education Capital LLC,IVYEC,1712332,Ivybridge Student Funding LLC,Ivybridge Student Lending LLC,student
Ivybridge Equipment Lease Trust,IVYE,1712368,Ivybridge Equipment Finance LLC,IVYEF,1712351,Ivybridge Leasing Holdings LLC,IVYLH,1712356,Ivybridge Equipment Receivables Depositor LLC,Ivybridge Equipment Finance LLC,equipment
Ivybridge Mortgage Trust,IVYM,1712392,Ivybridge Mortgage Company LLC,IVYMC,1712375,Ivybridge Residential Capital LLC,IVYRC,1712380,Ivybridge Mortgage Depositor LLC,Ivybridge Mortgage Company LLC,mortgage
Ivybridge Commercial Mortgage Trust,IVYK,1712416,Ivybridge Commercial Realty Capital LLC,IVYRE,1712399,Ivybridge Commercial Capital LLC,IVYKC,1712404,Ivybridge Commercial Mortgage Depositor LLC,Ivybridge Commercial Realty Capital LLC,commercial
Ivybridge Corporate Credit Trust,IVYP,1712440,Ivybridge Asset Management LLC,IVYAM,1712423,Ivybridge Credit Partners LLC,IVYCP,1712428,Ivybridge Credit Funding LLC,Ivybridge Asset Management LLC,corporate_credit
Ivybridge Specialty Asset Trust,IVYR,1712464,Ivybridge Specialty Finance LLC,IVYSF,1712447,Ivybridge Structured Capital LLC,IVYSC,1712452,Ivybridge Specialty Funding LLC,Ivybridge Specialty Finance LLC,esoteric
Jasperfield Auto Receivables Trust,JASA,1712488,Jasperfield Auto Finance LLC,JASAF,1712471,Jasperfield Capital Markets LLC,JASCM,1712476,Jasperfield Auto Receivables Depositor LLC,PHH Mortgage Corporation,auto
Jasperfield Credit Card Master Trust,JASC,1712512,Jasperfield Card Services LLC,JASCS,1712495,Jasperfield Payments Holdings LLC,JASPH,1712500,Jasperfield Card Funding LLC,Jasperfield Card Services LLC,card
Jasperfield Consumer Loan Trust,JASU,1712536,Jasperfield Consumer Finance LLC,JASCF,1712519,Jasperfield Consumer Capital LLC,JASCC,1712524,Jasperfield Consumer Receivables Depositor LLC,Jasperfield Consumer Finance LLC,consumer
Jasperfield Student Loan Trust,JASS,1712560,Jasperfield Student Lending LLC,JASSL,1712543,Jasperfield Education Capital LLC,JASEC,1712548,Jasperfield Student Funding LLC,Jasperfield Student Lending LLC,student
Jasperfield Equipment Lease Trust,JASE,1712584,Jasperfield Equipment Finance LLC,JASEF,1712567,Jasperfield Leasing Holdings LLC,JASLH,1712572,Jasperfield Equipment Receivables Depositor LLC,Jasperfield Equipment Finance LLC,equipment
Jasperfield Mortgage Trust,JASM,1712608,Jasperfield Mortgage Company LLC,JASMC,1712591,Jasperfield Residential Capital LLC,JASRC,1712596,Jasperfield Mortgage Depositor LLC,Jasperfield Mortgage Company LLC,mortgage
Jasperfield Commercial Mortgage Trust,JASK,1712632,Jasperfield Commercial Realty Capital LLC,JASRE,1712615,Jasperfield Commercial Capital LLC,JASKC,1712620,Jasperfield Commercial Mortgage Depositor LLC,Jasperfield Commercial Realty Capital LLC,commercial
Jasperfield Corporate Credit Trust,JASP,1712656,Jasperfield Asset Management LLC,JASAM,1712639,Jasperfield Credit Partners LLC,JASCP,1712644,Jasperfield Credit Funding LLC,Jasperfield Asset Management LLC,corporate_credit
Jasperfield Specialty Asset Trust,JASR,1712680,Jasperfield Specialty Finance LLC,JASSF,1712663,Jasperfield Structured Capital LLC,JASSC,1712668,Jasperfield Specialty Funding LLC,Jasperfield Specialty Finance LLC,esoteric
Kingsley Auto Receivables Trust,KINA,1712704,Kingsley Auto Finance LLC,KINAF,1712687,Kingsley Capital Markets LLC,KINCM,1712692,Kingsley Auto Receivables Depositor LLC,Kingsley Auto Finance LLC,auto
Kingsley Credit Card Master Trust,KINC,1712728,Kingsley Card Services LLC,KINCS,1712711,Kingsley Payments Holdings LLC,KINPH,1712716,Kingsley Card Funding LLC,Nationstar Mortgage LLC,card
Kingsley Consumer Loan Trust,KINU,1712752,Kingsley Consumer Finance LLC,KINCF,1712735,Kingsley Consumer Capital LLC,KINCC,1712740,Kingsley Consumer Receivables Depositor LLC,Kingsley Consumer Finance LLC,consumer
Kingsley Student Loan Trust,KINS,1712776,Kingsley Student Lending LLC,KINSL,1712759,Kingsley Education Capital LLC,KINEC,1712764,Kingsley Student Funding LLC,Kingsley Student Lending LLC,student
Kingsley Equipment Lease Trust,KINE,1712800,Kingsley Equipment Finance LLC,KINEF,1712783,Kingsley Leasing Holdings LLC,KINLH,1712788,Kingsley Equipment Receivables Depositor LLC,Kingsley Equipment Finance LLC,equipment
Kingsley Mortgage Trust,KINM,1712824,Kingsley Mortgage Company LLC,KINMC,1712807,Kingsley Residential Capital LLC,KINRC,1712812,Kingsley Mortgage Depositor LLC,Kingsley Mortgage Company LLC,mortgage
Kingsley Commercial Mortgage Trust,KINK,1712848,Kingsley Commercial Realty Capital LLC,KINRE,1712831,Kingsley Commercial Capital LLC,KINKC,1712836,Kingsley Commercial Mortgage Depositor LLC,Kingsley Commercial Realty Capital LLC,commercial
Kingsley Corporate Credit Trust,KINP,1712872,Kingsley Asset Management LLC,KINAM,1712855,Kingsley Credit Partners LLC,KINCP,1712860,Kingsley Credit Funding LLC,Kingsley Asset Management LLC,corporate_credit
Kingsley Specialty Asset Trust,KINR,1712896,Kingsley Specialty Finance LLC,KINSF,1712879,Kingsley Structured Capital LLC,KINSC,1712884,Kingsley Specialty Funding LLC,Kingsley Specialty Finance LLC,esoteric
Linden Auto Receivables Trust,LINA,1712920,Linden Auto Finance LLC,LINAF,1712903,Linden Capital Markets LLC,LINCM,1712908,Linden Auto Receivables Depositor LLC,Linden Auto Finance LLC,auto
Linden Credit Card Master Trust,LINC,1712944,Linden Card Services LLC,LINCS,1712927,Linden Payments Holdings LLC,LINPH,1712932,Linden Card Funding LLC,Linden Card Services LLC,card
Linden Consumer Loan Trust,LINU,1712968,Linden Consumer Finance LLC,LINCF,1712951,Linden Consumer Capital LLC,LINCC,1712956,Linden Consumer Receivables Depositor LLC,Rushmore Loan Management Services LLC,consumer
Linden Student Loan Trust,LINS,1712992,Linden Student Lending LLC,LINSL,1712975,Linden Education Capital LLC,LINEC,1712980,Linden Student Funding LLC,Linden Student Lending LLC,student
Linden Equipment Lease Trust,LINE,1713016,Linden Equipment Finance LLC,LINEF,1712999,Linden Leasing Holdings LLC,LINLH,1713004,Linden Equipment Receivables Depositor LLC,Linden Equipment Finance LLC,equipment
Linden Mortgage Trust,LINM,1713040,Linden Mortgage Company LLC,LINMC,1713023,Linden Residential Capital LLC,LINRC,1713028,Linden Mortgage Depositor LLC,Linden Mortgage Company LLC,mortgage
Linden Commercial Mortgage Trust,LINK,1713064,Linden Commercial Realty Capital LLC,LINRE,1713047,Linden Commercial Capital LLC,LINKC,1713052,Linden Commercial Mortgage Depositor LLC,Linden Commercial Realty Capital LLC,commercial
Linden Corporate Credit Trust,LINP,1713088,Linden Asset Management LLC,LINAM,1713071,Linden Credit Partners LLC,LINCP,1713076,Linden Credit Funding LLC,Linden Asset Management LLC,corporate_credit
Linden Specialty Asset Trust,LINR,1713112,Linden Specialty Finance LLC,LINSF,1713095,Linden Structured Capital LLC,LINSC,1713100,Linden Specialty Funding LLC,Linden Specialty Finance LLC,esoteric
Millbrook Auto Receivables Trust,MILA,1713136,Millbrook Auto Finance LLC,MILAF,1713119,Millbrook Capital Markets LLC,MILCM,1713124,Millbrook Auto Receivables Depositor LLC,Millbrook Auto Finance LLC,auto
Millbrook Credit Card Master Trust,MILC,1713160,Millbrook Card Services LLC,MILCS,1713143,Millbrook Payments Holdings LLC,MILPH,1713148,Millbrook Card Funding LLC,Millbrook Card Services LLC,card
Millbrook Consumer Loan Trust,MILU,1713184,Millbrook Consumer Finance LLC,MILCF,1713167,Millbrook Consumer Capital LLC,MILCC,1713172,Millbrook Consumer Receivables Depositor LLC,Millbrook Consumer Finance LLC,consumer
Millbrook Student Loan Trust,MILS,1713208,Millbrook Student Lending LLC,MILSL,1713191,Millbrook Education Capital LLC,MILEC,1713196,Millbrook Student Funding LLC,Cenlar FSB,student
Millbrook Equipment Lease Trust,MILE,1713232,Millbrook Equipment Finance LLC,MILEF,1713215,Millbrook Leasing Holdings LLC,MILLH,1713220,Millbrook Equipment Receivables Depositor LLC,Millbrook Equipment Finance LLC,equipment
Millbrook Mortgage Trust,MILM,1713256,Millbrook Mortgage Company LLC,MILMC,1713239,Millbrook Residential Capital LLC,MILRC,1713244,Millbrook Mortgage Depositor LLC,Millbrook Mortgage Company LLC,mortgage
Millbrook Commercial Mortgage Trust,MILK,1713280,Millbrook Commercial Realty Capital LLC,MILRE,1713263,Millbrook Commercial Capital LLC,MILKC,1713268,Millbrook Commercial Mortgage Depositor LLC,Millbrook Commercial Realty Capital LLC,commercial
Millbrook Corporate Credit Trust,MILP,1713304,Millbrook Asset Management LLC,MILAM,1713287,Millbrook Credit Partners LLC,MILCP,1713292,Millbrook Credit Funding LLC,Millbrook Asset Management LLC,corporate_credit
Millbrook Specialty Asset Trust,MILR,1713328,Millbrook Specialty Finance LLC,MILSF,1713311,Millbrook Structured Capital LLC,MILSC,1713316,Millbrook Specialty Funding LLC,Millbrook Specialty Finance LLC,esoteric
Norwood Auto Receivables Trust,NRWA,1713352,Norwood Auto Finance LLC,NRWAF,1713335,Norwood Capital Markets LLC,NRWCM,1713340,Norwood Auto Receivables Depositor LLC,Norwood Auto Finance LLC,auto
Norwood Credit Card Master Trust,NRWC,1713376,Norwood Card Services LLC,NRWCS,1713359,Norwood Payments Holdings LLC,NRWPH,1713364,Norwood Card Funding LLC,Norwood Card Services LLC,card
Norwood Consumer Loan Trust,NRWU,1713400,Norwood Consumer Finance LLC,NRWCF,1713383,Norwood Consumer Capital LLC,NRWCC,1713388,Norwood Consumer Receivables Depositor LLC,Norwood Consumer Finance LLC,consumer
Norwood Student Loan Trust,NRWS,1713424,Norwood Student Lending LLC,NRWSL,1713407,Norwood Education Capital LLC,NRWEC,1713412,Norwood Student Funding LLC,Norwood Student Lending LLC,student
Norwood Equipment Lease Trust,NRWE,1713448,Norwood Equipment Finance LLC,NRWEF,1713431,Norwood Leasing Holdings LLC,NRWLH,1713436,Norwood Equipment Receivables Depositor LLC,Cenlar FSB,equipment
Norwood Mortgage Trust,NRWM,1713472,Norwood Mortgage Company LLC,NRWMC,1713455,Norwood Residential Capital LLC,NRWRC,1713460,Norwood Mortgage Depositor LLC,Norwood Mortgage Company LLC,mortgage
Norwood Commercial Mortgage Trust,NRWK,1713496,Norwood Commercial Realty Capital LLC,NRWRE,1713479,Norwood Commercial Capital LLC,NRWKC,1713484,Norwood Commercial Mortgage Depositor LLC,Norwood Commercial Realty Capital LLC,commercial
Norwood Corporate Credit Trust,NRWP,1713520,Norwood Asset Management LLC,NRWAM,1713503,Norwood Credit Partners LLC,NRWCP,1713508,Norwood Credit Funding LLC,Norwood Asset Management LLC,corporate_credit
Norwood Specialty Asset Trust,NRWR,1713544,Norwood Specialty Finance LLC,NRWSF,1713527,Norwood Structured Capital LLC,NRWSC,1713532,Norwood Specialty Funding LLC,Norwood Specialty Finance LLC,esoteric
Oakvale Auto Receivables Trust,OKVA,1713568,Oakvale Auto Finance LLC,OKVAF,1713551,Oakvale Capital Markets LLC,OKVCM,1713556,Oakvale Auto Receivables Depositor LLC,Oakvale Auto Finance LLC,auto
Oakvale Credit Card Master Trust,OKVC,1713592,Oakvale Card Services LLC,OKVCS,1713575,Oakvale Payments Holdings LLC,OKVPH,1713580,Oakvale Card Funding LLC,Oakvale Card Services LLC,card
Oakvale Consumer Loan Trust,OKVU,1713616,Oakvale Consumer Finance LLC,OKVCF,1713599,Oakvale Consumer Capital LLC,OKVCC,1713604,Oakvale Consumer Receivables Depositor LLC,Oakvale Consumer Finance LLC,consumer
Oakvale Student Loan Trust,OKVS,1713640,Oakvale Student Lending LLC,OKVSL,1713623,Oakvale Education Capital LLC,OKVEC,1713628,Oakvale Student Funding LLC,Oakvale Student Lending LLC,student
Oakvale Equipment Lease Trust,OKVE,1713664,Oakvale Equipment Finance LLC,OKVEF,1713647,Oakvale Leasing Holdings LLC,OKVLH,1713652,Oakvale Equipment Receivables Depositor LLC,Oakvale Equipment Finance LLC,equipment
Oakvale Mortgage Trust,OKVM,1713688,Oakvale Mortgage Company LLC,OKVMC,1713671,Oakvale Residential Capital LLC,OKVRC,1713676,Oakvale Mortgage Depositor LLC,Computershare Loan Services,mortgage
Oakvale Commercial Mortgage Trust,OKVK,1713712,Oakvale Commercial Realty Capital LLC,OKVRE,1713695,Oakvale Commercial Capital LLC,OKVKC,1713700,Oakvale Commercial Mortgage Depositor LLC,Oakvale Commercial Realty Capital LLC,commercial
Oakvale Corporate Credit Trust,OKVP,1713736,Oakvale Asset Management LLC,OKVAM,1713719,Oakvale Credit Partners LLC,OKVCP,1713724,Oakvale Credit Funding LLC,Oakvale Asset Management LLC,corporate_credit
